숫자,코드
"(1, 1)",10a
"(1, 2)",10b
"(1, 3)",10c
"(1, 4)",10d
"(1, 5)",10e
"(1, 6)",10f
"(1, 7)",10g
"(1, 8)",10h
"(1, 9)",10i
"(1, 10)",n10_01
"(1, 11)",n10_03
"(1, 12)",10j
"(1, 13)",10k
"(1, 14)",10l
"(1, 15)",10m
"(1, 16)",10n
"(2, 1)",21a
"(2, 2)",21k
"(2, 3)",21i
"(2, 4)",n21_01
"(2, 5)",n21_02
"(2, 6)",n21_03
"(2, 7)",21u
"(2, 8)",s21d
"(2, 9)",21f
"(2, 10)",n21_05
"(2, 11)",n21_06
"(2, 12)",n21_07
"(2, 13)",21e
"(2, 14)",21g
"(2, 15)",n21_10
"(2, 16)",n21_01
"(2, 17)",21b
"(2, 18)",21c
"(2, 19)",21h
"(2, 20)",n21_13
"(2, 21)",n21_12
"(2, 22)",n21_15
"(2, 23)",n21_16
"(2, 24)",n21_17
"(2, 25)",21w
"(2, 26)",21v
"(2, 27)",n21_19
"(2, 28)",21j
"(2, 29)",21l
"(2, 30)",21n
"(2, 31)",21o
"(2, 32)",21p
"(2, 33)",21r
"(2, 34)",33e
"(2, 35)",33k
"(2, 36)",33d
"(2, 37)",n22_05
"(2, 38)",22j
"(2, 39)",s22g
"(2, 40)",n22_04
"(2, 41)",n22_06
"(2, 42)",n22_07
"(2, 43)",22b
"(2, 44)",22c
"(2, 45)",22h
"(2, 46)",n22_02
"(2, 47)",n22_03
"(2, 48)",22d
"(2, 49)",22e
"(2, 50)",22f
"(2, 51)",22i
"(2, 52)",22k
"(2, 53)",22l
"(3, 1)",31a
"(3, 2)",31b
"(3, 3)",n31_01
"(3, 4)",31d
"(3, 5)",31c
"(3, 6)",31j
"(3, 7)",31e
"(3, 8)",31h
"(3, 9)",31f
"(3, 10)",31g
"(3, 11)",31i
"(3, 12)",31k
"(3, 13)",31m
"(3, 14)",31l
"(3, 15)",31n
"(3, 16)",n31_04
"(3, 17)",31o
"(3, 18)",n31_03
"(3, 19)",31p
"(3, 20)",n31_02
"(3, 21)",31q
"(3, 22)",31r
"(3, 23)",31s
"(3, 24)",31t
"(3, 25)",32b
"(3, 26)",32i
"(3, 27)",n21_20
"(3, 28)",32c
"(3, 29)",32d
"(3, 30)",21m
"(3, 31)",21s
"(3, 32)",32e
"(3, 33)",32g
"(3, 34)",n32_02
"(3, 35)",32f
"(3, 36)",32k
"(3, 37)",32l
"(3, 38)",n32_09
"(3, 39)",32h
"(3, 40)",n32_03
"(3, 41)",32m
"(3, 42)",n32_04
"(3, 43)",n32_10
"(3, 44)",n32_11
"(3, 45)",32n
"(3, 46)",n33_05
"(3, 47)",n33_06
"(3, 48)",n33_04
"(3, 49)",21t
"(3, 50)",33h
"(3, 51)",n32_13
"(3, 52)",32u
"(3, 53)",32j
"(3, 54)",n32_05
"(3, 55)",n32_12
"(3, 56)",33f
"(3, 57)",21q
"(3, 58)",32o
"(3, 59)",32p
"(3, 60)",32q
"(3, 61)",32r
"(3, 62)",32s
"(3, 63)",32t
"(3, 64)",n32_06
"(3, 65)",n32_07
"(3, 66)",33b
"(3, 67)",n33_01
"(3, 68)",n33_02
"(3, 69)",n32_14
"(3, 70)",33g
"(3, 71)",33j
"(3, 72)",33c
"(3, 73)",33i
"(3, 74)",33l
"(3, 75)",33m
"(4, 1)",41a
"(4, 2)",41b
"(4, 3)",41c
"(4, 4)",n41_01
"(4, 5)",41d
"(4, 6)",41e
"(4, 7)",n41_02
"(4, 8)",41f
"(4, 9)",n41_03
